Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime(seconds),Sector1Time(seconds),Sector2Time(seconds),Sector3Time(seconds)
0 days 01:13:17.797000,VER,1,0 days 00:01:30.273000,5.0,1.0,,,0 days 00:00:33.310000,0 days 00:00:30.260000,0 days 00:00:26.703000,0 days 01:12:20.888000,0 days 01:12:51.148000,0 days 01:13:17.851000,231.0,274.0,274.0,291.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:47.524000,2023-10-08 17:12:47.529,1,1.0,False,,False,True,90.273,33.31,30.26,26.703
0 days 01:14:47.206000,VER,1,0 days 00:01:29.409000,6.0,1.0,,,0 days 00:00:33.139000,0 days 00:00:29.969000,0 days 00:00:26.301000,0 days 01:13:50.990000,0 days 01:14:20.959000,0 days 01:14:47.260000,226.0,275.0,275.0,298.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 01:13:17.797000,2023-10-08 17:14:17.802,1,1.0,False,,False,True,89.409,33.139,29.969,26.301
0 days 01:16:16.289000,VER,1,0 days 00:01:29.083000,7.0,1.0,,,0 days 00:00:32.850000,0 days 00:00:29.847000,0 days 00:00:26.386000,0 days 01:15:20.110000,0 days 01:15:49.957000,0 days 01:16:16.343000,231.0,275.0,275.0,299.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:47.206000,2023-10-08 17:15:47.211,1,1.0,False,,False,True,89.083,32.85,29.847,26.386
0 days 01:17:45.651000,VER,1,0 days 00:01:29.362000,8.0,1.0,,,0 days 00:00:33.037000,0 days 00:00:29.899000,0 days 00:00:26.426000,0 days 01:16:49.380000,0 days 01:17:19.279000,0 days 01:17:45.705000,229.0,275.0,275.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:16:16.289000,2023-10-08 17:17:16.294,1,1.0,False,,False,True,89.362,33.037,29.899,26.426
0 days 01:19:14.977000,VER,1,0 days 00:01:29.326000,9.0,1.0,,,0 days 00:00:33.034000,0 days 00:00:29.860000,0 days 00:00:26.432000,0 days 01:18:18.739000,0 days 01:18:48.599000,0 days 01:19:15.031000,230.0,276.0,275.0,301.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:17:45.651000,2023-10-08 17:18:45.656,1,1.0,False,,False,True,89.326,33.034,29.86,26.432
0 days 01:20:44.434000,VER,1,0 days 00:01:29.457000,10.0,1.0,,,0 days 00:00:33.020000,0 days 00:00:29.859000,0 days 00:00:26.578000,0 days 01:19:48.051000,0 days 01:20:17.910000,0 days 01:20:44.488000,229.0,276.0,274.0,300.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:19:14.977000,2023-10-08 17:20:14.982,1,1.0,False,,False,True,89.457,33.02,29.859,26.578
0 days 01:22:13.791000,VER,1,0 days 00:01:29.357000,11.0,1.0,,,0 days 00:00:33.039000,0 days 00:00:29.873000,0 days 00:00:26.445000,0 days 01:21:17.527000,0 days 01:21:47.400000,0 days 01:22:13.845000,228.0,276.0,275.0,302.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:20:44.434000,2023-10-08 17:21:44.439,1,1.0,False,,False,True,89.357,33.039,29.873,26.445
0 days 01:23:42.993000,VER,1,0 days 00:01:29.202000,12.0,1.0,,,0 days 00:00:32.949000,0 days 00:00:29.837000,0 days 00:00:26.416000,0 days 01:22:46.794000,0 days 01:23:16.631000,0 days 01:23:43.047000,228.0,276.0,275.0,299.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:22:13.791000,2023-10-08 17:23:13.796,1,1.0,False,,False,True,89.202,32.949,29.837,26.416
0 days 01:25:12.008000,VER,1,0 days 00:01:29.015000,13.0,1.0,,,0 days 00:00:32.728000,0 days 00:00:29.829000,0 days 00:00:26.458000,0 days 01:24:15.775000,0 days 01:24:45.604000,0 days 01:25:12.062000,230.0,277.0,274.0,300.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 01:23:42.993000,2023-10-08 17:24:42.998,1,1.0,False,,False,True,89.015,32.728,29.829,26.458
0 days 01:26:41.131000,VER,1,0 days 00:01:29.123000,14.0,1.0,,,0 days 00:00:32.952000,0 days 00:00:29.835000,0 days 00:00:26.336000,0 days 01:25:45.014000,0 days 01:26:14.849000,0 days 01:26:41.185000,226.0,275.0,275.0,301.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:25:12.008000,2023-10-08 17:26:12.013,1,1.0,False,,False,True,89.123,32.952,29.835,26.336
0 days 01:28:09.843000,VER,1,0 days 00:01:28.712000,15.0,1.0,,,0 days 00:00:32.868000,0 days 00:00:29.690000,0 days 00:00:26.154000,0 days 01:27:14.053000,0 days 01:27:43.743000,0 days 01:28:09.897000,231.0,277.0,275.0,300.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:26:41.131000,2023-10-08 17:27:41.136,1,1.0,False,,False,True,88.712,32.868,29.69,26.154
0 days 01:29:37.718000,VER,1,0 days 00:01:27.875000,16.0,1.0,,,0 days 00:00:32.519000,0 days 00:00:29.524000,0 days 00:00:25.832000,0 days 01:28:42.416000,0 days 01:29:11.940000,0 days 01:29:37.772000,229.0,277.0,275.0,300.0,True,MEDIUM,19.0,False,Red Bull Racing,0 days 01:28:09.843000,2023-10-08 17:29:09.848,1,1.0,False,,False,True,87.875,32.519,29.524,25.832
0 days 01:34:30.773000,VER,1,0 days 00:01:29.076000,19.0,2.0,,,0 days 00:00:32.859000,0 days 00:00:29.801000,0 days 00:00:26.416000,0 days 01:33:34.610000,0 days 01:34:04.411000,0 days 01:34:30.827000,227.0,272.0,276.0,295.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:33:01.697000,2023-10-08 17:34:01.702,1,1.0,False,,False,True,89.076,32.859,29.801,26.416
0 days 01:35:59.227000,VER,1,0 days 00:01:28.454000,20.0,2.0,,,0 days 00:00:32.658000,0 days 00:00:29.618000,0 days 00:00:26.178000,0 days 01:35:03.485000,0 days 01:35:33.103000,0 days 01:35:59.281000,229.0,274.0,275.0,298.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:34:30.773000,2023-10-08 17:35:30.778,1,1.0,False,,False,True,88.454,32.658,29.618,26.178
0 days 01:37:27.333000,VER,1,0 days 00:01:28.106000,21.0,2.0,,,0 days 00:00:32.545000,0 days 00:00:29.436000,0 days 00:00:26.125000,0 days 01:36:31.826000,0 days 01:37:01.262000,0 days 01:37:27.387000,233.0,277.0,276.0,299.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:35:59.227000,2023-10-08 17:36:59.232,1,1.0,False,,False,True,88.106,32.545,29.436,26.125
0 days 01:38:55.357000,VER,1,0 days 00:01:28.024000,22.0,2.0,,,0 days 00:00:32.535000,0 days 00:00:29.487000,0 days 00:00:26.002000,0 days 01:37:59.922000,0 days 01:38:29.409000,0 days 01:38:55.411000,230.0,280.0,276.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:37:27.333000,2023-10-08 17:38:27.338,1,1.0,False,,False,True,88.024,32.535,29.487,26.002
0 days 01:40:23.248000,VER,1,0 days 00:01:27.891000,23.0,2.0,,,0 days 00:00:32.390000,0 days 00:00:29.468000,0 days 00:00:26.033000,0 days 01:39:27.801000,0 days 01:39:57.269000,0 days 01:40:23.302000,233.0,280.0,276.0,302.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:38:55.357000,2023-10-08 17:39:55.362,1,1.0,False,,False,True,87.891,32.39,29.468,26.033
0 days 01:41:51.062000,VER,1,0 days 00:01:27.814000,24.0,2.0,,,0 days 00:00:32.439000,0 days 00:00:29.413000,0 days 00:00:25.962000,0 days 01:40:55.741000,0 days 01:41:25.154000,0 days 01:41:51.116000,232.0,277.0,276.0,303.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:40:23.248000,2023-10-08 17:41:23.253,1,1.0,False,,False,True,87.814,32.439,29.413,25.962
0 days 01:43:18.837000,VER,1,0 days 00:01:27.775000,25.0,2.0,,,0 days 00:00:32.404000,0 days 00:00:29.441000,0 days 00:00:25.930000,0 days 01:42:23.520000,0 days 01:42:52.961000,0 days 01:43:18.891000,234.0,278.0,276.0,302.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 01:41:51.062000,2023-10-08 17:42:51.067,1,1.0,False,,False,True,87.775,32.404,29.441,25.93
0 days 01:44:46.605000,VER,1,0 days 00:01:27.768000,26.0,2.0,,,0 days 00:00:32.340000,0 days 00:00:29.440000,0 days 00:00:25.988000,0 days 01:43:51.231000,0 days 01:44:20.671000,0 days 01:44:46.659000,231.0,280.0,277.0,303.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:43:18.837000,2023-10-08 17:44:18.842,1,1.0,False,,False,True,87.768,32.34,29.44,25.988
0 days 01:46:14.411000,VER,1,0 days 00:01:27.806000,27.0,2.0,,,0 days 00:00:32.408000,0 days 00:00:29.452000,0 days 00:00:25.946000,0 days 01:45:19.067000,0 days 01:45:48.519000,0 days 01:46:14.465000,232.0,280.0,277.0,303.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:44:46.605000,2023-10-08 17:45:46.610,1,1.0,False,,False,True,87.806,32.408,29.452,25.946
0 days 01:47:42.153000,VER,1,0 days 00:01:27.742000,28.0,2.0,,,0 days 00:00:32.298000,0 days 00:00:29.415000,0 days 00:00:26.029000,0 days 01:46:46.763000,0 days 01:47:16.178000,0 days 01:47:42.207000,233.0,280.0,276.0,303.0,True,MEDIUM,14.0,False,Red Bull Racing,0 days 01:46:14.411000,2023-10-08 17:47:14.416,1,1.0,False,,False,True,87.742,32.298,29.415,26.029
0 days 01:49:09.741000,VER,1,0 days 00:01:27.588000,29.0,2.0,,,0 days 00:00:32.262000,0 days 00:00:29.454000,0 days 00:00:25.872000,0 days 01:48:14.469000,0 days 01:48:43.923000,0 days 01:49:09.795000,232.0,280.0,277.0,304.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:47:42.153000,2023-10-08 17:48:42.158,1,1.0,False,,False,True,87.588,32.262,29.454,25.872
0 days 01:50:37.256000,VER,1,0 days 00:01:27.515000,30.0,2.0,,,0 days 00:00:32.270000,0 days 00:00:29.422000,0 days 00:00:25.823000,0 days 01:49:42.065000,0 days 01:50:11.487000,0 days 01:50:37.310000,230.0,277.0,277.0,305.0,True,MEDIUM,16.0,False,Red Bull Racing,0 days 01:49:09.741000,2023-10-08 17:50:09.746,1,1.0,False,,False,True,87.515,32.27,29.422,25.823
0 days 01:52:04.222000,VER,1,0 days 00:01:26.966000,31.0,2.0,,,0 days 00:00:31.988000,0 days 00:00:29.418000,0 days 00:00:25.560000,0 days 01:51:09.298000,0 days 01:51:38.716000,0 days 01:52:04.276000,233.0,278.0,278.0,304.0,True,MEDIUM,17.0,False,Red Bull Racing,0 days 01:50:37.256000,2023-10-08 17:51:37.261,1,1.0,False,,False,True,86.966,31.988,29.418,25.56
0 days 01:53:30.887000,VER,1,0 days 00:01:26.665000,32.0,2.0,,,0 days 00:00:31.867000,0 days 00:00:29.310000,0 days 00:00:25.488000,0 days 01:52:36.143000,0 days 01:53:05.453000,0 days 01:53:30.941000,235.0,278.0,277.0,304.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:52:04.222000,2023-10-08 17:53:04.227,1,1.0,False,,False,True,86.665,31.867,29.31,25.488
0 days 01:59:44.562000,VER,1,0 days 00:01:26.255000,36.0,3.0,,,0 days 00:00:31.836000,0 days 00:00:28.984000,0 days 00:00:25.435000,0 days 01:58:50.197000,0 days 01:59:19.181000,0 days 01:59:44.616000,238.0,276.0,278.0,298.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:58:18.307000,2023-10-08 17:59:18.312,1,1.0,False,,False,True,86.255,31.836,28.984,25.435
0 days 02:01:10.643000,VER,1,0 days 00:01:26.081000,37.0,3.0,,,0 days 00:00:31.873000,0 days 00:00:28.959000,0 days 00:00:25.249000,0 days 02:00:16.489000,0 days 02:00:45.448000,0 days 02:01:10.697000,236.0,276.0,278.0,299.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:59:44.562000,2023-10-08 18:00:44.567,1,1.0,False,,False,True,86.081,31.873,28.959,25.249
0 days 02:02:36.478000,VER,1,0 days 00:01:25.835000,38.0,3.0,,,0 days 00:00:31.562000,0 days 00:00:28.875000,0 days 00:00:25.398000,0 days 02:01:42.259000,0 days 02:02:11.134000,0 days 02:02:36.532000,239.0,276.0,278.0,300.0,True,HARD,4.0,True,Red Bull Racing,0 days 02:01:10.643000,2023-10-08 18:02:10.648,1,1.0,False,,False,True,85.835,31.562,28.875,25.398
0 days 02:04:02.293000,VER,1,0 days 00:01:25.815000,39.0,3.0,,,0 days 00:00:31.557000,0 days 00:00:28.983000,0 days 00:00:25.275000,0 days 02:03:08.089000,0 days 02:03:37.072000,0 days 02:04:02.347000,238.0,276.0,278.0,302.0,True,HARD,5.0,True,Red Bull Racing,0 days 02:02:36.478000,2023-10-08 18:03:36.483,1,1.0,False,,False,True,85.815,31.557,28.983,25.275
0 days 02:05:27.986000,VER,1,0 days 00:01:25.693000,40.0,3.0,,,0 days 00:00:31.534000,0 days 00:00:28.911000,0 days 00:00:25.248000,0 days 02:04:33.881000,0 days 02:05:02.792000,0 days 02:05:28.040000,238.0,278.0,279.0,301.0,True,HARD,6.0,True,Red Bull Racing,0 days 02:04:02.293000,2023-10-08 18:05:02.298,1,1.0,False,,False,True,85.693,31.534,28.911,25.248
0 days 02:08:19.674000,VER,1,0 days 00:01:25.827000,42.0,3.0,,,0 days 00:00:31.653000,0 days 00:00:28.967000,0 days 00:00:25.207000,0 days 02:07:25.554000,0 days 02:07:54.521000,0 days 02:08:19.728000,236.0,277.0,281.0,304.0,False,HARD,8.0,True,Red Bull Racing,0 days 02:06:53.847000,2023-10-08 18:07:53.852,1,1.0,False,,False,True,85.827,31.653,28.967,25.207
0 days 02:09:45.554000,VER,1,0 days 00:01:25.880000,43.0,3.0,,,0 days 00:00:31.679000,0 days 00:00:29.108000,0 days 00:00:25.093000,0 days 02:08:51.407000,0 days 02:09:20.515000,0 days 02:09:45.608000,237.0,276.0,280.0,305.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:08:19.674000,2023-10-08 18:09:19.679,1,1.0,False,,False,True,85.88,31.679,29.108,25.093
0 days 02:11:11.029000,VER,1,0 days 00:01:25.475000,44.0,3.0,,,0 days 00:00:31.560000,0 days 00:00:28.895000,0 days 00:00:25.020000,0 days 02:10:17.168000,0 days 02:10:46.063000,0 days 02:11:11.083000,236.0,277.0,280.0,298.0,True,HARD,10.0,True,Red Bull Racing,0 days 02:09:45.554000,2023-10-08 18:10:45.559,1,1.0,False,,False,True,85.475,31.56,28.895,25.02
0 days 02:12:36.650000,VER,1,0 days 00:01:25.621000,45.0,3.0,,,0 days 00:00:31.598000,0 days 00:00:28.991000,0 days 00:00:25.032000,0 days 02:11:42.681000,0 days 02:12:11.672000,0 days 02:12:36.704000,238.0,278.0,282.0,301.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:11:11.029000,2023-10-08 18:12:11.034,1,1.0,False,,False,True,85.621,31.598,28.991,25.032
0 days 02:14:02.639000,VER,1,0 days 00:01:25.989000,46.0,3.0,,,0 days 00:00:31.670000,0 days 00:00:29.229000,0 days 00:00:25.090000,0 days 02:13:08.374000,0 days 02:13:37.603000,0 days 02:14:02.693000,236.0,277.0,280.0,307.0,False,HARD,12.0,True,Red Bull Racing,0 days 02:12:36.650000,2023-10-08 18:13:36.655,1,1.0,False,,False,True,85.989,31.67,29.229,25.09
0 days 02:15:28.608000,VER,1,0 days 00:01:25.969000,47.0,3.0,,,0 days 00:00:31.582000,0 days 00:00:29.136000,0 days 00:00:25.251000,0 days 02:14:34.275000,0 days 02:15:03.411000,0 days 02:15:28.662000,237.0,278.0,281.0,307.0,False,HARD,13.0,True,Red Bull Racing,0 days 02:14:02.639000,2023-10-08 18:15:02.644,1,1.0,False,,False,True,85.969,31.582,29.136,25.251
0 days 02:16:54.824000,VER,1,0 days 00:01:26.216000,48.0,3.0,,,0 days 00:00:31.675000,0 days 00:00:29.248000,0 days 00:00:25.293000,0 days 02:16:00.337000,0 days 02:16:29.585000,0 days 02:16:54.878000,235.0,278.0,281.0,309.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:15:28.608000,2023-10-08 18:16:28.613,1,1.0,False,,False,True,86.216,31.675,29.248,25.293
0 days 02:18:20.801000,VER,1,0 days 00:01:25.977000,49.0,3.0,,,0 days 00:00:31.637000,0 days 00:00:29.090000,0 days 00:00:25.250000,0 days 02:17:26.515000,0 days 02:17:55.605000,0 days 02:18:20.855000,235.0,278.0,281.0,305.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:16:54.824000,2023-10-08 18:17:54.829,1,1.0,False,,False,True,85.977,31.637,29.09,25.25
0 days 02:19:46.816000,VER,1,0 days 00:01:26.015000,50.0,3.0,,,0 days 00:00:31.705000,0 days 00:00:29.125000,0 days 00:00:25.185000,0 days 02:18:52.560000,0 days 02:19:21.685000,0 days 02:19:46.870000,238.0,283.0,282.0,305.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:18:20.801000,2023-10-08 18:19:20.806,1,1.0,False,,False,True,86.015,31.705,29.125,25.185
0 days 02:24:32.774000,VER,1,0 days 00:01:25.291000,53.0,4.0,,,0 days 00:00:31.418000,0 days 00:00:28.708000,0 days 00:00:25.165000,0 days 02:23:38.955000,0 days 02:24:07.663000,0 days 02:24:32.828000,240.0,279.0,280.0,305.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 02:23:07.483000,2023-10-08 18:24:07.488,1,1.0,False,,False,True,85.291,31.418,28.708,25.165
0 days 02:25:57.811000,VER,1,0 days 00:01:25.037000,54.0,4.0,,,0 days 00:00:31.310000,0 days 00:00:28.662000,0 days 00:00:25.065000,0 days 02:25:04.138000,0 days 02:25:32.800000,0 days 02:25:57.865000,242.0,281.0,280.0,304.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 02:24:32.774000,2023-10-08 18:25:32.779,1,1.0,False,,False,True,85.037,31.31,28.662,25.065
0 days 02:27:23.034000,VER,1,0 days 00:01:25.223000,55.0,4.0,,,0 days 00:00:31.517000,0 days 00:00:28.772000,0 days 00:00:24.934000,0 days 02:26:29.382000,0 days 02:26:58.154000,0 days 02:27:23.088000,242.0,281.0,288.0,308.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 02:25:57.811000,2023-10-08 18:26:57.816,1,1.0,False,,False,True,85.223,31.517,28.772,24.934
0 days 02:28:47.353000,VER,1,0 days 00:01:24.319000,56.0,4.0,,,0 days 00:00:30.765000,0 days 00:00:28.669000,0 days 00:00:24.885000,0 days 02:27:53.853000,0 days 02:28:22.522000,0 days 02:28:47.407000,243.0,282.0,281.0,327.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 02:27:23.034000,2023-10-08 18:28:23.039,1,1.0,False,,False,True,84.319,30.765,28.669,24.885
0 days 02:30:13.156000,VER,1,0 days 00:01:25.803000,57.0,4.0,,,0 days 00:00:31.701000,0 days 00:00:28.960000,0 days 00:00:25.142000,0 days 02:29:19.108000,0 days 02:29:48.068000,0 days 02:30:13.210000,237.0,281.0,279.0,307.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 02:28:47.353000,2023-10-08 18:29:47.358,1,1.0,False,,False,True,85.803,31.701,28.96,25.142
0 days 01:13:19.060000,PIA,81,0 days 00:01:30.471000,5.0,1.0,,,0 days 00:00:33.509000,0 days 00:00:30.309000,0 days 00:00:26.653000,0 days 01:12:22.136000,0 days 01:12:52.445000,0 days 01:13:19.098000,230.0,276.0,275.0,303.0,True,MEDIUM,11.0,False,McLaren,0 days 01:11:48.589000,2023-10-08 17:12:48.594,1,2.0,False,,False,True,90.471,33.509,30.309,26.653
0 days 01:14:48.388000,PIA,81,0 days 00:01:29.328000,6.0,1.0,,,0 days 00:00:32.997000,0 days 00:00:29.909000,0 days 00:00:26.422000,0 days 01:13:52.095000,0 days 01:14:22.004000,0 days 01:14:48.426000,230.0,276.0,276.0,303.0,True,MEDIUM,12.0,False,McLaren,0 days 01:13:19.060000,2023-10-08 17:14:19.065,1,2.0,False,,False,True,89.328,32.997,29.909,26.422
0 days 01:16:17.944000,PIA,81,0 days 00:01:29.556000,7.0,1.0,,,0 days 00:00:32.795000,0 days 00:00:30.061000,0 days 00:00:26.700000,0 days 01:15:21.221000,0 days 01:15:51.282000,0 days 01:16:17.982000,233.0,276.0,275.0,306.0,False,MEDIUM,13.0,False,McLaren,0 days 01:14:48.388000,2023-10-08 17:15:48.393,1,2.0,False,,False,True,89.556,32.795,30.061,26.7
0 days 01:17:47.791000,PIA,81,0 days 00:01:29.847000,8.0,1.0,,,0 days 00:00:32.790000,0 days 00:00:30.461000,0 days 00:00:26.596000,0 days 01:16:50.772000,0 days 01:17:21.233000,0 days 01:17:47.829000,231.0,274.0,275.0,306.0,False,MEDIUM,14.0,False,McLaren,0 days 01:16:17.944000,2023-10-08 17:17:17.949,1,2.0,False,,False,True,89.847,32.79,30.461,26.596
0 days 01:19:17.341000,PIA,81,0 days 00:01:29.550000,9.0,1.0,,,0 days 00:00:32.920000,0 days 00:00:30.171000,0 days 00:00:26.459000,0 days 01:18:20.749000,0 days 01:18:50.920000,0 days 01:19:17.379000,231.0,275.0,275.0,296.0,False,MEDIUM,15.0,False,McLaren,0 days 01:17:47.791000,2023-10-08 17:18:47.796,1,2.0,False,,False,True,89.55,32.92,30.171,26.459
0 days 01:20:46.863000,PIA,81,0 days 00:01:29.522000,10.0,1.0,,,0 days 00:00:32.854000,0 days 00:00:30.182000,0 days 00:00:26.486000,0 days 01:19:50.233000,0 days 01:20:20.415000,0 days 01:20:46.901000,231.0,276.0,275.0,305.0,False,MEDIUM,16.0,False,McLaren,0 days 01:19:17.341000,2023-10-08 17:20:17.346,1,2.0,False,,False,True,89.522,32.854,30.182,26.486
0 days 01:22:16.746000,PIA,81,0 days 00:01:29.883000,11.0,1.0,,,0 days 00:00:33.010000,0 days 00:00:30.259000,0 days 00:00:26.614000,0 days 01:21:19.911000,0 days 01:21:50.170000,0 days 01:22:16.784000,231.0,276.0,275.0,306.0,False,MEDIUM,17.0,False,McLaren,0 days 01:20:46.863000,2023-10-08 17:21:46.868,1,2.0,False,,False,True,89.883,33.01,30.259,26.614
0 days 01:27:14.477000,PIA,81,0 days 00:01:30.272000,14.0,2.0,,,0 days 00:00:32.986000,0 days 00:00:30.532000,0 days 00:00:26.754000,0 days 01:26:17.229000,0 days 01:26:47.761000,0 days 01:27:14.515000,223.0,277.0,287.0,326.0,False,MEDIUM,9.0,False,McLaren,0 days 01:25:44.205000,2023-10-08 17:26:44.210,1,9.0,False,,False,True,90.272,32.986,30.532,26.754
0 days 01:28:43.154000,PIA,81,0 days 00:01:28.677000,15.0,2.0,,,0 days 00:00:32.310000,0 days 00:00:30.071000,0 days 00:00:26.296000,0 days 01:27:46.825000,0 days 01:28:16.896000,0 days 01:28:43.192000,231.0,274.0,277.0,321.0,True,MEDIUM,10.0,False,McLaren,0 days 01:27:14.477000,2023-10-08 17:28:14.482,1,7.0,False,,False,True,88.677,32.31,30.071,26.296
0 days 01:31:41.262000,PIA,81,0 days 00:01:29.008000,17.0,2.0,,,0 days 00:00:32.642000,0 days 00:00:30.034000,0 days 00:00:26.332000,0 days 01:30:44.934000,0 days 01:31:14.968000,0 days 01:31:41.300000,228.0,276.0,285.0,333.0,False,MEDIUM,12.0,False,McLaren,0 days 01:30:12.254000,2023-10-08 17:31:12.259,1,6.0,False,,False,True,89.008,32.642,30.034,26.332
0 days 01:33:09.884000,PIA,81,0 days 00:01:28.622000,18.0,2.0,,,0 days 00:00:32.415000,0 days 00:00:29.941000,0 days 00:00:26.266000,0 days 01:32:13.715000,0 days 01:32:43.656000,0 days 01:33:09.922000,231.0,275.0,275.0,327.0,True,MEDIUM,13.0,False,McLaren,0 days 01:31:41.262000,2023-10-08 17:32:41.267,1,3.0,False,,False,True,88.622,32.415,29.941,26.266
0 days 01:34:38.472000,PIA,81,0 days 00:01:28.588000,19.0,2.0,,,0 days 00:00:32.537000,0 days 00:00:29.843000,0 days 00:00:26.208000,0 days 01:33:42.459000,0 days 01:34:12.302000,0 days 01:34:38.510000,234.0,275.0,276.0,299.0,True,MEDIUM,14.0,False,McLaren,0 days 01:33:09.884000,2023-10-08 17:34:09.889,1,2.0,False,,False,True,88.588,32.537,29.843,26.208
0 days 01:36:06.678000,PIA,81,0 days 00:01:28.206000,20.0,2.0,,,0 days 00:00:32.390000,0 days 00:00:29.813000,0 days 00:00:26.003000,0 days 01:35:10.900000,0 days 01:35:40.713000,0 days 01:36:06.716000,235.0,275.0,276.0,303.0,True,MEDIUM,15.0,False,McLaren,0 days 01:34:38.472000,2023-10-08 17:35:38.477,1,2.0,False,,False,True,88.206,32.39,29.813,26.003
0 days 01:40:31.360000,PIA,81,0 days 00:01:28.184000,23.0,2.0,,,0 days 00:00:32.394000,0 days 00:00:29.755000,0 days 00:00:26.035000,0 days 01:39:35.608000,0 days 01:40:05.363000,0 days 01:40:31.398000,236.0,277.0,276.0,304.0,True,MEDIUM,18.0,False,McLaren,0 days 01:39:03.176000,2023-10-08 17:40:03.181,1,2.0,False,,False,True,88.184,32.394,29.755,26.035
0 days 01:41:59.286000,PIA,81,0 days 00:01:27.926000,24.0,2.0,,,0 days 00:00:32.291000,0 days 00:00:29.681000,0 days 00:00:25.954000,0 days 01:41:03.689000,0 days 01:41:33.370000,0 days 01:41:59.324000,233.0,277.0,275.0,305.0,True,MEDIUM,19.0,False,McLaren,0 days 01:40:31.360000,2023-10-08 17:41:31.365,1,2.0,False,,False,True,87.926,32.291,29.681,25.954
0 days 01:46:49.989000,PIA,81,0 days 00:01:27.359000,27.0,3.0,,,0 days 00:00:32.295000,0 days 00:00:29.446000,0 days 00:00:25.618000,0 days 01:45:54.963000,0 days 01:46:24.409000,0 days 01:46:50.027000,236.0,279.0,287.0,308.0,True,MEDIUM,2.0,True,McLaren,0 days 01:45:22.630000,2023-10-08 17:46:22.635,1,6.0,False,,False,True,87.359,32.295,29.446,25.618
0 days 01:48:18.124000,PIA,81,0 days 00:01:28.135000,28.0,3.0,,,0 days 00:00:32.013000,0 days 00:00:30.443000,0 days 00:00:25.679000,0 days 01:47:22.040000,0 days 01:47:52.483000,0 days 01:48:18.162000,236.0,277.0,288.0,328.0,False,MEDIUM,3.0,True,McLaren,0 days 01:46:49.989000,2023-10-08 17:47:49.994,1,5.0,False,,False,True,88.135,32.013,30.443,25.679
0 days 01:49:45.168000,PIA,81,0 days 00:01:27.044000,29.0,3.0,,,0 days 00:00:31.844000,0 days 00:00:29.463000,0 days 00:00:25.737000,0 days 01:48:50.006000,0 days 01:49:19.469000,0 days 01:49:45.206000,236.0,277.0,277.0,331.0,True,MEDIUM,4.0,True,McLaren,0 days 01:48:18.124000,2023-10-08 17:49:18.129,1,4.0,False,,False,True,87.044,31.844,29.463,25.737
0 days 01:51:12.211000,PIA,81,0 days 00:01:27.043000,30.0,3.0,,,0 days 00:00:32.016000,0 days 00:00:29.480000,0 days 00:00:25.547000,0 days 01:50:17.222000,0 days 01:50:46.702000,0 days 01:51:12.249000,236.0,279.0,278.0,306.0,True,MEDIUM,5.0,True,McLaren,0 days 01:49:45.168000,2023-10-08 17:50:45.173,1,4.0,False,,False,True,87.043,32.016,29.48,25.547
