Driver,Team,LapNumber,PitInTime(seconds),PitOutTime(seconds),PitStopDuration
RUS,Mercedes,1.0,3886.723,3926.425,39.702000000000226
GAS,Alpine,44.0,7918.443,7953.302,34.85899999999947
HUL,Haas F1 Team,13.0,5132.459,5172.333,39.873999999999796
